ID,name,url,score,review_count
1,らぁ麺や 嶋,https://tabelog.com/tokyo/A1304/A130401/13247487/,3.99,249
2,Homemade Ramen 麦苗,https://tabelog.com/tokyo/A1315/A131502/13194812/,3.98,758
3,手打式超多加水麺 ののくら,https://tabelog.com/tokyo/A1324/A132403/13215713/,3.96,532
4,麺尊 RAGE,https://tabelog.com/tokyo/A1319/A131907/13178309/,3.94,784
5,宍道湖しじみ中華蕎麦 琥珀,https://tabelog.com/tokyo/A1315/A131503/13234195/,3.94,346
6,中華そば しば田,https://tabelog.com/tokyo/A1326/A132601/13162681/,3.93,863
7,らぁ麺やまぐち,https://tabelog.com/tokyo/A1305/A130504/13151200/,3.93,501
8,中華そば 多賀野,https://tabelog.com/tokyo/A1317/A131712/13003421/,3.92,849
9,らーめんMAIKAGURA,https://tabelog.com/tokyo/A1318/A131813/13218425/,3.92,330
10,麺処 しろくろ,https://tabelog.com/tokyo/A1318/A131809/13242508/,3.92,190
11,麺創庵 砂田,https://tabelog.com/tokyo/A1322/A132201/13246362/,3.92,153
12,中華蕎麦にし乃,https://tabelog.com/tokyo/A1310/A131004/13218311/,3.91,689
13,麺処 ほん田 秋葉原本店,https://tabelog.com/tokyo/A1310/A131001/13246285/,3.91,446
14,キング製麺,https://tabelog.com/tokyo/A1323/A132303/13232817/,3.91,344
15,中華ソバ 伊吹,https://tabelog.com/tokyo/A1322/A132205/13163874/,3.9,546
16,中華そば べんてん,https://tabelog.com/tokyo/A1322/A132204/13200351/,3.9,357
17,一番いちばん,https://tabelog.com/tokyo/A1327/A132701/13001469/,3.9,347
18,中華そば うお青,https://tabelog.com/tokyo/A1329/A132903/13229181/,3.9,147
19,メンドコロ キナリ,https://tabelog.com/tokyo/A1319/A131901/13221001/,3.89,427
20,純手打ち だるま,https://tabelog.com/tokyo/A1319/A131903/13218715/,3.89,301
21,中華そば　堀川,https://tabelog.com/tokyo/A1317/A131703/13243173/,3.89,295
22,三ん寅,https://tabelog.com/tokyo/A1309/A130905/13240660/,3.89,281
23,饗 くろ喜,https://tabelog.com/tokyo/A1310/A131001/13127743/,3.88,1106
24,創作麺工房 鳴龍,https://tabelog.com/tokyo/A1323/A132302/13141302/,3.88,756
25,町田汁場 しおらーめん進化 本店,https://tabelog.com/tokyo/A1327/A132701/13050023/,3.88,635
26,カネキッチン ヌードル,https://tabelog.com/tokyo/A1321/A132101/13203355/,3.88,342
27,ラーメン 健やか,https://tabelog.com/tokyo/A1320/A132002/13207054/,3.88,292
28,寿製麺 よしかわ 西台駅前店,https://tabelog.com/tokyo/A1322/A132205/13228611/,3.88,275
29,ほっこり中華そば もつけ,https://tabelog.com/tokyo/A1329/A132904/13192847/,3.87,431
30,自家製中華そば としおか,https://tabelog.com/tokyo/A1305/A130504/13182315/,3.87,328
31,中華そば 西川,https://tabelog.com/tokyo/A1318/A131813/13213036/,3.87,257
32,イルカ トウキョウ,https://tabelog.com/tokyo/A1328/A132802/13234223/,3.87,134
